,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05550384521484375,0.005707051459414204,0.02071490287780762,0.0034338392818676865,3,1,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-334.9724964730886,-550.1443558540685,-438.1068616704155,-454.9564027346665,-364.6200027888108,-428.56002390420997,75.38914019047732,56
1,0.05035114288330078,0.004961382245131467,0.019480180740356446,0.003041396662392277,3,1,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-342.3965876347815,-611.1352714596738,-437.98674048496804,-451.57460223528466,-369.8427149919092,-442.5871833613234,93.63792920037478,60
2,0.05131058692932129,0.006881593519269171,0.021016883850097656,0.002740883890982154,3,1,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-335.0488160978908,-527.8480449625746,-434.67465920118025,-455.048774996573,-376.4675661739397,-425.81757228643164,66.35890107337781,54
3,0.05301260948181152,0.00260734474388617,0.021251392364501954,0.0028285940330063097,3,2,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-334.9989478274608,-491.1475546128278,-516.940247907873,-487.7559924532025,-376.7649493668842,-441.52153843364965,71.87325802560383,59
4,0.044791650772094724,0.0025752712443767273,0.022712326049804686,0.0023796487487459583,3,2,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-334.3914745324862,-518.3849667592906,-437.8805293072704,-454.9419581890116,-368.4455447353775,-422.8088947046873,65.06533254761912,51
5,0.05063881874084473,0.003643202498880194,0.02452678680419922,0.004879351641568757,3,2,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-336.0255518072325,-517.4045740257071,-439.70364633318883,-476.12077529914654,-369.7867380077077,-427.8082570945965,66.77373941159793,55
6,0.047022533416748044,0.00430725805493554,0.0212125301361084,0.002713083176554198,3,4,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-335.0275287784908,-483.9927349727063,-434.48845362767486,-422.8329103244901,-369.2155188032296,-409.1114293013183,51.99921217735765,40
7,0.04688119888305664,0.0021669784831780266,0.02223038673400879,0.002306004330689397,3,4,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-338.90816990409525,-480.2899936518315,-461.69501794466163,-422.63730274964155,-368.9250094863571,-414.4910987473174,53.690060199164535,43
8,0.051144886016845706,0.006051043283069401,0.022831249237060546,0.002761096466279387,3,4,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-336.9680359375157,-524.8599861485034,-434.4829685443037,-423.29948023423196,-370.802227225159,-418.0825396179428,64.05092391719336,46
9,0.04551548957824707,0.004503849078371048,0.022409343719482423,0.0038211943688428516,3,8,2,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-334.28783614830945,-527.1141074804234,-461.78983701982196,-423.94046131195887,-376.3434254986305,-424.69513349182887,66.89932715898455,53
10,0.0555234432220459,0.001950582944533156,0.023323726654052735,0.004978615568637403,3,8,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-340.03135063562826,-518.4103402552698,-459.21867372596097,-424.39290225498365,-372.5612000689834,-422.9228933881653,62.99953193392338,52
11,0.050106477737426755,0.006616469443196639,0.021703386306762697,0.0031401406020942426,3,8,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-337.6881770469573,-503.40162960344867,-436.4471563324588,-421.60767739096235,-379.11820084160706,-415.6525682430868,55.82290261963047,44
12,0.04787678718566894,0.002418625156847536,0.020910024642944336,0.0010710029543523983,4,1,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-300.75335673693996,-527.7905432780736,-427.62022938504447,-492.0332549728582,-343.16795578149924,-418.2730680308831,85.99264202967498,47
13,0.049193286895751955,0.00667354245018219,0.022550582885742188,0.003125164379204306,4,1,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-305.37649262686585,-524.845264737168,-426.265579175483,-464.35711232322893,-359.1548767121972,-415.99986511498867,77.14922230172132,45
14,0.0491541862487793,0.0035015632151880072,0.020168304443359375,0.002497592786728392,4,1,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-298.26254230634703,-497.8818782014644,-459.39890141534374,-504.05833930852793,-347.31873518324386,-421.3840792829854,83.39863461232535,50
15,0.050026321411132814,0.005067516751545314,0.019903898239135742,0.0020918879499163164,4,2,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-306.53127199604666,-475.2828361993233,-528.1849454655578,-443.7983696959326,-347.4955606226457,-420.2585967959012,81.80250412616542,49
16,0.04769225120544433,0.006792680772145134,0.022803783416748047,0.007170149199583735,4,2,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-300.1251219298699,-506.11028609450386,-435.5136109344443,-459.7080780768526,-362.0606623785577,-412.70355188284566,73.06592560252479,41
17,0.049073410034179685,0.0026461089855829584,0.02151045799255371,0.0012496658694169864,4,2,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-296.80401213577306,-473.89932295124527,-417.42752135329476,-411.8849641720901,-364.541347208131,-392.91143356410686,59.26477858737261,23
18,0.04903955459594726,0.004706989110614367,0.022148656845092773,0.0033689111737228057,4,4,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-297.1416109912626,-510.0133120056843,-415.91412261254334,-417.34718227851795,-346.11593643209136,-397.30643286401994,72.2553483507958,30
19,0.05082554817199707,0.003640438438944208,0.020246553421020507,0.001433394193009216,4,4,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-295.1418809158185,-530.1833308185711,-437.2575352953253,-401.18229625013817,-349.43354571455575,-402.6397177988818,79.81800833184035,38
